"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataset","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,10,"46379489917,600000","26614,601011","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space","thrpt",1,10,"398,777248","4,437821","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"45928362803,200000","412996938,777872","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen","thrpt",1,10,"0,327757","0,002085","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Old_Gen.norm","thrpt",1,10,"37748736,000000","0,000000","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space","thrpt",1,10,"0,828197","0,005126","MB/sec",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.G1_Survivor_Space.norm","thrpt",1,10,"95386049,600000","98333,236629","B/op",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,10,"361,000000",NaN,"counts",train_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,10,"8260,000000",NaN,"ms",train_id,foreach_apache
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df","thrpt",1,10,"0,677804","0,003475","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate","thrpt",1,10,"43,891746","0,223635","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.alloc.rate.norm","thrpt",1,10,"72905339,542857","2227,195189","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space","thrpt",1,10,"735,795257","3,737522","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.ThreadConcurrentRunner.compute_df:·gc.churn.G1_Eden_Space.norm","thrpt",1,10,"1222175246,628572","291396,650828","B/op",devel_100_000_id,foreach_java
