"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: param","Param: stringManipulation"
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"504,591490","17,320070","MB/sec",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"20493028,098938","2673,220766","B/op",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"502,610938","16,917716","MB/sec",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"20412622,426963","63007,540042","B/op",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"128,000000",NaN,"counts",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"841,000000",NaN,"ms",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"48,315910","1,508734","ops/s",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"712,944969","22,552912","MB/sec",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"16283639,087161","1447,970867","B/op",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"656,973749","136,637314","MB/sec",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"15007981,862215","3323493,914446","B/op",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"112,000000",NaN,"counts",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"729,000000",NaN,"ms",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"23,045960","0,621341","ops/s",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"477,388222","13,170797","MB/sec",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"22859370,942852","2781,423140","B/op",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"473,872891","15,033335","MB/sec",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"22691189,987101","497495,014973","B/op",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"136,000000",NaN,"counts",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"814,000000",NaN,"ms",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"38,732611","1,860243","ops/s",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"666,986339","32,006594","MB/sec",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"18998970,124468","2182,561985","B/op",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"654,480358","65,044430","MB/sec",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"18640705,423518","1099537,122942","B/op",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"132,000000",NaN,"counts",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"785,000000",NaN,"ms",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_1_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"2,788835","0,084803","ops/s",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"515,418245","16,438856","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"205817040,711330","461209,934582","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"431,157544","42,376610","MB/sec",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"172197873,875862","20844655,784754","B/op",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"60,000000",NaN,"counts",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"648,000000",NaN,"ms",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"4,710874","0,102602","ops/s",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"686,909534","14,614326","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"162358892,359574","135946,596115","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"621,178419","52,897479","MB/sec",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"146826668,482270","12942030,287950","B/op",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"80,000000",NaN,"counts",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"789,000000",NaN,"ms",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,foreach_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"2,553762","0,014175","ops/s",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"526,300088","4,147635","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"229722711,200000","8403,238835","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"465,136383","219,447188","MB/sec",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"203020445,538462","95558589,580371","B/op",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"68,000000",NaN,"counts",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"694,000000",NaN,"ms",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,stream_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"3,837571","0,059330","ops/s",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"656,214983","9,784755","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"190378372,348718","4112,307439","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"613,158716","35,063151","MB/sec",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"177881508,102564","7740599,029987","B/op",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"80,000000",NaN,"counts",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"807,000000",NaN,"ms",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·stack","thrpt",1,1,NaN,NaN,"---",devel_10_000_id,stream_apache
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf","thrpt",1,5,"0,260759","0,002202","ops/s",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate","thrpt",1,5,"550,119257","7,571809","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.alloc.rate.norm","thrpt",1,5,"2578341931,200000","62613,359271","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap","thrpt",1,5,"438,472394","10,815201","MB/sec",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.churn.ZHeap.norm","thrpt",1,5,"2055069149,866666","44206129,179163","B/op",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.count","thrpt",1,5,"124,000000",NaN,"counts",devel_100_000_id,foreach_java
"jv.microbenchmark.runners.runner.BasicSerialRunner.compute_tfidf:·gc.time","thrpt",1,5,"6840,000000",NaN,"ms",devel_100_000_id,foreach_java
